Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,574,108046
,,,,,,,575,98760
,,,,,,,576,90576
,,,,,,,577,88414
,,,,,,,578,85768
,,,,,,,579,84524
,,,,,,,580,85496
,,,,,,,581,87922
,,,,,,,582,95548
,,,,,,,583,113150
,,,,,,,584,121410
,,,,,,,585,107436
,,,,,,,586,95940
,,,,,,,587,91516
,,,,,,,588,85004
,,,,,,,589,82786
,,,,,,,590,88740
,,,,,,,591,94400
,,,,,,,592,106998
,,,,,,,593,120458
,,,,,,,594,136432
,,,,,,,595,137612
,,,,,,,596,132292
,,,,,,,597,129188
,,,,,,,598,117094
,,,,,,,599,106976
,,,,,,,600,98606
,,,,,,,601,92674
,,,,,,,602,89714
,,,,,,,603,88228
,,,,,,,604,88490
,,,,,,,605,91036
,,,,,,,606,98116
,,,,,,,607,115816
,,,,,,,608,126010
,,,,,,,609,119704
,,,,,,,610,112056
,,,,,,,611,111926
,,,,,,,612,109894
,,,,,,,613,113456
,,,,,,,614,116504
,,,,,,,615,118852
,,,,,,,616,123234
,,,,,,,617,131570
,,,,,,,618,141742
,,,,,,,619,139218
,,,,,,,620,133012
,,,,,,,621,128796
,,,,,,,622,116034
,,,,,,,623,105632
,,,,,,,624,96662
,,,,,,,625,87998
,,,,,,,626,84730
,,,,,,,627,82360
,,,,,,,628,82350
,,,,,,,629,83956
,,,,,,,630,90500
,,,,,,,631,105982
,,,,,,,632,116668
,,,,,,,633,115116
,,,,,,,634,113466
,,,,,,,635,114406
,,,,,,,636,114538
,,,,,,,637,110178
,,,,,,,638,105698
,,,,,,,639,96104
,,,,,,,640,104420
,,,,,,,641,115674
,,,,,,,642,127048
,,,,,,,643,127232
,,,,,,,644,121322
,,,,,,,645,117530
,,,,,,,646,109216
,,,,,,,647,101842
,,,,,,,648,94510
,,,,,,,649,92280
,,,,,,,650,88326
,,,,,,,651,86752
,,,,,,,652,86480
,,,,,,,653,87430
,,,,,,,654,90358
,,,,,,,655,96760
,,,,,,,656,94608
,,,,,,,657,93580
,,,,,,,658,93538
,,,,,,,659,81922
,,,,,,,660,72910
,,,,,,,661,72396
,,,,,,,662,75204
,,,,,,,663,81104
,,,,,,,664,89146
,,,,,,,665,103284
,,,,,,,666,115488
,,,,,,,667,120164
,,,,,,,668,118874
,,,,,,,669,115914
,,,,,,,670,112504
,,,,,,,671,106582
,,,,,,,672,100224
,,,,,,,673,93646
,,,,,,,674,89844
,,,,,,,675,88446
,,,,,,,676,88490
,,,,,,,677,88850
,,,,,,,678,91090
,,,,,,,679,95362
,,,,,,,680,90216
,,,,,,,681,81486
,,,,,,,682,75236
,,,,,,,683,71314
,,,,,,,684,69020
,,,,,,,685,74046
,,,,,,,686,84446
,,,,,,,687,87660
,,,,,,,688,90740
,,,,,,,689,104408
,,,,,,,690,118470
,,,,,,,691,124534
,,,,,,,692,124426
,,,,,,,693,121180
,,,,,,,694,116296
,,,,,,,695,108714
,,,,,,,696,100126
,,,,,,,697,92346
,,,,,,,698,89658
,,,,,,,699,88642
,,,,,,,700,89560
,,,,,,,701,92522
,,,,,,,702,100432
,,,,,,,703,118678
,,,,,,,704,124316
,,,,,,,705,112134
,,,,,,,706,100072
,,,,,,,707,94084
,,,,,,,708,90576
,,,,,,,709,91964
,,,,,,,710,96302
,,,,,,,711,100464
,,,,,,,712,108332
,,,,,,,713,123736
